artist,genre,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_popularity,added_at
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),In the End,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0,0.209,0.4,105.143,216880,4,86.0,2012-06-12T08:26:03Z
JAY-Z,east coast hip hop/hip hop/rap,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,Numb / Encore,5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2,-4.254,1,0.166,0,0.582,0.751,107.045,205733,4,79.0,2012-06-12T08:26:11Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,BURN IT DOWN,BURN IT DOWN,5ZOhKoqC0mqXmpBERIvxP3,0.574,0.977,9,-4.543,0,0.0524,0,0.172,0.53,110.003,231320,4,9.0,2012-06-12T08:26:05Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,New Divide (Int'l DMD Maxi),New Divide,6uXDMINfe9KJETjkzekznW,0.493,0.808,5,-3.365,0,0.0362,0,0.0983,0.38,117.971,268613,4,51.0,2012-11-12T18:07:40Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,What I've Done,4wfyFIRnxdIN0v4OGtXcX3,0.623,0.93,5,-5.285,1,0.0324,1.64e-06,0.138,0.287,120.119,205613,4,58.0,2012-11-12T18:08:28Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora (Bonus Edition),Numb,0kO3njY9N1Rxgv27Ha1lLh,0.496,0.863,9,-4.153,1,0.0381,0,0.639,0.243,110.018,185587,4,62.0,2012-06-12T08:26:08Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora (Bonus Edition),Figure.09,0rPTPahzhGx9LSzI8XX5OM,0.518,0.951,9,-3.198,1,0.0529,0,0.148,0.537,98.068,197507,4,62.0,2020-12-23T10:04:06Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory,Crawling,58EGLpv99177ZdS1j4wXtj,0.58,0.702,4,-5.565,1,0.0337,3.2e-06,0.536,0.299,105.076,208960,4,0.0,2012-11-12T18:01:31Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),One Step Closer,3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,1.32e-06,0.0787,0.538,95.136,157333,4,78.0,2012-06-12T08:26:36Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),Papercut,1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,9,-3.994,1,0.113,0,0.623,0.661,150.184,184867,4,75.0,2012-06-12T08:26:38Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),Points of Authority,5egqKwgK5r5rvGD1LrtR7J,0.512,0.97,8,-3.886,0,0.212,0,0.0994,0.427,94.952,200240,4,68.0,2014-12-30T00:02:17Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),Pushing Me Away,1gAaRSN57UYVRI4eWRyAvP,0.484,0.913,6,-4.305,1,0.0425,0,0.309,0.279,103.103,191440,4,64.0,2014-03-07T11:47:44Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),Runaway,6xtQ23d8GEXgcxyUKPtwc5,0.636,0.884,7,-4.743,1,0.0584,0,0.253,0.446,109.16,183973,4,66.0,2014-03-07T11:50:37Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory,A Place For My Head,72aMgGDCDRly1NKhhVBsaT,0.603,0.908,11,-5.254,1,0.184,0,0.671,0.457,133.063,184640,4,0.0,2013-02-27T09:50:50Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),Forgotten,7kxM3UJwN6rHAW5kwdlAHK,0.615,0.947,8,-3.817,0,0.11,0,0.366,0.498,108.193,194427,4,63.0,2015-06-18T22:38:08Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),With You,5uuXtfqM7Wp3idCxyHeOll,0.421,0.978,6,-4.004,0,0.302,0,0.111,0.359,196.921,203267,4,66.0,2015-06-18T22:36:49Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Hybrid Theory (Bonus Edition),By Myself,6UzeOH4bRPzKTo2wCXMZmC,0.544,0.935,6,-4.159,0,0.173,0.00301,0.297,0.339,103.026,189800,4,64.0,2015-06-18T22:37:33Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora (Bonus Edition),Breaking the Habit,4HcDu9IGRCvSTJE4yW5Ugv,0.579,0.849,4,-5.218,0,0.0303,0,0.0909,0.581,100.021,196907,4,59.0,2013-02-27T09:51:05Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora (Bonus Edition),Faint,2uxL6E8Yq0Psc1V9uBtC4F,0.554,0.978,4,-3.554,1,0.131,0,0.0731,0.594,135.095,162600,4,58.0,2012-06-12T08:26:24Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,LIVING THINGS,CASTLE OF GLASS,1r1fPuhj9H4VdXr7OK6FL5,0.615,0.911,1,-3.584,0,0.0278,0.00188,0.0908,0.685,108.0,205400,4,75.0,2012-11-02T14:01:09Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,LIVING THINGS,LOST IN THE ECHO,2oNYsdCasRRlz1shXFAz7D,0.546,0.98,9,-3.02,0,0.0619,0,0.31,0.478,120.037,205120,4,68.0,2012-11-02T14:04:06Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,LIVING THINGS,ROADS UNTRAVELED,1dYw8HTRJnFpeEeMtXj99a,0.599,0.788,8,-6.25,0,0.0294,0.00525,0.155,0.581,100.001,229933,3,66.0,2016-02-19T17:36:22Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora (Bonus Edition),Somewhere I Belong,1d5UuboIPRMD4HaU3yycKC,0.451,0.951,1,-3.754,1,0.0645,2.39e-06,0.261,0.442,162.065,213933,4,58.0,2013-03-28T22:51:53Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,Bleed It Out,0UFDKFqW2oGspYeYqo9wjA,0.529,0.967,1,-3.647,0,0.0508,0,0.61,0.596,140.127,166373,4,75.0,2013-03-28T22:51:57Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,LIVING THINGS,IN MY REMAINS,00KfIFi2TpAaQGPbRbFbKJ,0.553,0.907,9,-5.623,0,0.0484,0,0.266,0.451,100.967,200693,4,64.0,2013-10-14T16:08:59Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,A Thousand Suns,Waiting for the End,5JHNg1hxZFT7TDEphhM4wj,0.487,0.961,4,-4.139,1,0.132,1.15e-06,0.553,0.323,170.005,231680,4,65.0,2013-07-18T19:53:05Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,A Thousand Suns,The Catalyst,5bvgRxco3jgSZ3SP8rueDA,0.56,0.925,0,-5.48,1,0.0362,0,0.104,0.178,135.009,339853,4,63.0,2013-08-08T12:48:18Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora,From the Inside,60IkVf7UfQXmt5CwkpcX8a,0.466,0.965,1,-2.597,0,0.0904,0,0.101,0.453,95.028,173933,3,59.0,2014-02-25T15:10:21Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Meteora,Lying from You,4zP2e2aIzOZGEFTq1MDJmm,0.535,0.951,3,-3.324,0,0.18,0,0.0669,0.723,160.102,175373,4,54.0,2014-12-29T23:52:09Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,Given Up,400lQTCx3wYGgqAIHSZbNA,0.655,0.885,7,-4.116,1,0.0438,0.000473,0.0448,0.938,100.088,189293,4,57.0,2014-02-28T16:39:15Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,LIVING THINGS,POWERLESS,4zNk347FJz4yDDcjUhJJMI,0.508,0.88,5,-6.441,0,0.0448,9.43e-05,0.15,0.337,140.065,224467,1,62.0,2014-02-28T16:39:51Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Until It's Gone,Until It's Gone,2CK5EvcFH84Xe5yR5MKLMd,0.47,0.878,4,-3.391,0,0.0429,0.054,0.235,0.322,114.986,233240,4,32.0,2014-05-17T10:34:18Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Rebellion (feat. Daron Malakian),Rebellion (feat. Daron Malakian),5x2xvWPlWHDzNKGwnJoaQF,0.508,0.971,8,-3.027,1,0.0788,0,0.62,0.325,130.023,224160,4,27.0,2014-06-10T19:39:51Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Wastelands,Wastelands,2yLGRvHRJr4BOhgBefYz4X,0.44,0.993,2,-3.481,0,0.184,0,0.964,0.614,169.77,195893,4,25.0,2014-06-10T19:40:10Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Final Masquerade,Final Masquerade,5BysfImJGRZwXCvI4FFcrE,0.466,0.852,3,-4.487,1,0.0585,2.6e-06,0.0989,0.428,164.032,217613,4,36.0,2014-06-08T23:31:47Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,The Hunting Party,All for Nothing (feat. Page Hamilton),5Rcs3fREgibWujLUlUb8KA,0.461,0.958,4,-3.852,0,0.124,9.33e-06,0.459,0.264,159.974,213653,4,58.0,2014-06-13T10:04:18Z
JAY-Z,east coast hip hop/hip hop/rap,Collision Course (Deluxe Version),Dirt off Your Shoulder / Lying From You,7dvd3b2oz7AFgXrPBIIYxR,0.557,0.905,11,-4.506,1,0.267,0,0.111,0.799,160.013,244693,4,58.0,2014-03-22T16:04:51Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,Hands Held High,3tIfOsDW9iRIZoBoYhpGTm,0.565,0.603,9,-8.597,1,0.0329,4.87e-05,0.195,0.132,104.0,233133,4,47.0,2012-11-12T18:09:46Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,Leave Out All The Rest,58AS4weYlUWvGztZbKIuAU,0.514,0.637,0,-6.418,1,0.0363,2.24e-06,0.389,0.18,80.401,209307,4,58.0,2014-02-25T15:01:22Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,A Thousand Suns,Burning in the Skies,5dhnFKVNR2x9BYqQ6FPpQh,0.607,0.891,9,-4.56,0,0.0387,0.00521,0.314,0.462,120.012,253160,3,53.0,2014-02-28T16:39:09Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,A Thousand Suns,Iridescent,69ZEgPX0hxWXJIqkTlYz41,0.484,0.727,0,-6.107,1,0.0358,0.00204,0.107,0.216,120.066,296560,4,63.0,2014-05-18T15:48:57Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,Shadow of the Day,0OYcEfskah1egYHjYRvbg1,0.534,0.393,11,-7.813,1,0.0292,0.0107,0.107,0.0641,110.007,290360,4,69.0,2014-05-18T15:46:16Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Not Alone,Not Alone,737yse38y2hsWQeNRrLaMY,0.682,0.766,6,-5.546,1,0.0313,3.38e-06,0.144,0.545,120.04,252840,4,58.0,2014-09-04T14:56:11Z
Linkin Park,alternative metal/nu metal/post-grunge/rap metal,Minutes to Midnight,Valentine's Day,5AMWj2Dc7oNb4qCHb5cOad,0.654,0.66,5,-5.594,1,0.0283,0.0371,0.278,0.412,108.039,196813,4,48.0,2014-12-30T00:06:06Z
Panic! At The Disco,modern rock,A Fever You Can't Sweat Out,I Write Sins Not Tragedies,5cY8y2XgOfkAh4kSWLFKkz,0.566,0.815,9,-4.481,0,0.14,0,0.12,0.672,169.961,185587,4,73.0,2012-08-17T21:32:30Z
Panic! At The Disco,modern rock,A Fever You Can't Sweat Out,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,0MSC5BYWcNhcBNNYORXZyj,0.66,0.799,8,-4.644,1,0.0995,0,0.154,0.475,125.966,200227,4,56.0,2012-09-17T20:08:36Z
Panic! At The Disco,modern rock,Vices & Virtues,The Ballad of Mona Lisa,5rLi8B8qgk6qThwRnKHW2P,0.436,0.893,9,-4.18,0,0.0556,0,0.103,0.0794,124.113,226680,4,70.0,2012-09-17T20:08:28Z
Panic! At The Disco,modern rock,Vices & Virtues,Ready to Go (Get Me Out of My Mind),7m4HUtdXRUHEitLIqbVWxf,0.57,0.922,0,-5.433,1,0.0424,0.000188,0.363,0.32,135.01,217027,4,57.0,2013-03-28T22:52:16Z
Volbeat,alternative metal/danish metal/danish rock,Fallen,Fallen - Edit,2S693BtyYwf53Yg9VpfmKD,0.389,0.806,2,-4.247,1,0.0518,2.15e-05,0.0942,0.51,74.522,260187,4,0.0,2012-07-02T15:13:51Z
Volbeat,alternative metal/danish metal/danish rock,Beyond Hell / Above Heaven,Heaven Nor Hell,1lKJsw6RYMRPCCdbhlrBfd,0.411,0.768,3,-4.21,1,0.0562,0.00859,0.134,0.672,134.408,322613,4,0.0,2012-07-02T15:13:57Z
Volbeat,alternative metal/danish metal/danish rock,Guitar Gangsters & Cadillac Blood,A Broken Man and the Dawn,1wSPTwbVkrwedZsj7xE5xN,0.345,0.964,1,-2.641,1,0.103,4.13e-06,0.033,0.404,141.437,284987,4,47.0,2015-08-16T12:10:29Z
Volbeat,alternative metal/danish metal/danish rock,Guitar Gangsters & Cadillac Blood (Limited Edition),Guitar Gangsters & Cadillac Blood,7J9qyGleuo96CADui6OrW4,0.302,0.974,0,-2.834,0,0.147,0.000511,0.0838,0.332,76.867,188853,4,0.0,2012-07-02T15:14:13Z
Volbeat,alternative metal/danish metal/danish rock,Guitar Gangsters & Cadillac Blood (Limited Edition),Maybellene i Hofteholder,4TAxPrfVHbotDrE1lZPkvX,0.247,0.942,0,-2.796,1,0.0691,1.86e-06,0.0864,0.601,94.094,200827,4,0.0,2014-04-03T18:30:37Z
Volbeat,alternative metal/danish metal/danish rock,Guitar Gangsters & Cadillac Blood (Limited Edition),Back To Prom,3oGI3Y37a6eOWbvManyrUZ,0.481,0.971,0,-2.675,1,0.118,0.000485,0.262,0.446,115.939,111907,4,0.0,2012-07-02T15:14:26Z
Volbeat,alternative metal/danish metal/danish rock,Guitar Gangsters & Cadillac Blood (Limited Edition),Mary Ann's Place,10o2eLNMG7PZoa1cGb0aPL,0.333,0.972,7,-2.475,0,0.0902,0.00183,0.0521,0.362,132.303,221907,4,0.0,2014-10-03T22:12:06Z
Volbeat,alternative metal/danish metal/danish rock,Guitar Gangsters & Cadillac Blood (Limited Edition),Still Counting,764wYq2eofYk0r1SBKjroh,0.309,0.919,2,-3.131,1,0.0609,0.000225,0.423,0.322,103.891,261813,4,0.0,2012-07-02T15:13:48Z
Volbeat,alternative metal/danish metal/danish rock,Outlaw Gentlemen & Shady Ladies (Deluxe Version),Pearl Hart,2BfA1R62f2tZ9lhXq3vCvu,0.548,0.943,2,-5.222,1,0.0407,0.000626,0.169,0.444,104.97,206560,4,0.0,2013-04-17T13:46:54Z
Volbeat,alternative metal/danish metal/danish rock,Outlaw Gentlemen & Shady Ladies (Deluxe Version),Lola Montez - Harp Version,1zuIZoChscGGwcVmJfBF5Q,0.523,0.877,2,-4.945,1,0.0321,9.56e-06,0.0793,0.684,152.018,267520,4,0.0,2013-04-17T13:49:00Z
Volbeat,alternative metal/danish metal/danish rock,Cape Of Our Hero,Cape Of Our Hero,3DX2anKRI1btQlMCocndAK,0.517,0.965,0,-4.839,1,0.046,1.35e-05,0.0863,0.585,104.34,229286,4,0.0,2013-04-17T14:33:15Z
Volbeat,alternative metal/danish metal/danish rock,Outlaw Gentlemen & Shady Ladies (Deluxe Version),The Hangman's Body Count,73ntSQvEs9EoISXLgXlHhb,0.557,0.949,7,-5.306,0,0.0278,0.00402,0.294,0.268,102.527,315280,4,0.0,2013-04-20T15:44:33Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,This Is War,This Is War,2D52zjCyqEIQa221lhw6uk,0.402,0.723,6,-5.26,1,0.0579,2e-06,0.233,0.224,160.047,326983,4,69.0,2012-12-13T12:40:02Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,This Is War,Kings And Queens,4sjLcE0GQ6urc4iUXsUPe9,0.293,0.817,8,-5.432,1,0.0852,3.4e-05,0.13,0.145,165.0,347667,4,65.0,2012-12-13T12:40:11Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,This Is War,Closer To The Edge,0UZwcRQAk4QR09HtGRZhYC,0.502,0.948,6,-3.717,1,0.12,4.49e-06,0.0809,0.102,139.979,273467,4,61.0,2012-12-13T12:40:17Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,A Beautiful Lie,The Kill (Bury Me),1p1nO35bbi4ZlQgjIA4oa4,0.179,0.912,4,-3.881,0,0.0791,0.000294,0.582,0.289,182.99,231533,3,64.0,2012-12-13T12:40:19Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,A Beautiful Lie + 30 Seconds To Mars,From Yesterday,4ogyT8HqLV6IdCepscSkh3,0.467,0.876,10,-4.841,1,0.0693,0.00592,0.0453,0.131,135.055,245933,4,0.0,2012-12-13T12:40:22Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,A Beautiful Lie + 30 Seconds To Mars,ATTACK,6QxTWEvzcJljVZaeTzuHF1,0.331,0.876,5,-1.894,0,0.0603,0.000835,0.732,0.299,175.009,189200,4,0.0,2012-12-20T16:36:39Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,A Beautiful Lie + 30 Seconds To Mars,A Beautiful Lie,3WHmBsovNovtAxQNsXrv1E,0.479,0.929,9,-5.106,0,0.0921,0.292,0.174,0.344,159.949,244280,3,0.0,2012-12-20T16:36:55Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,Up In The Air,Up In The Air,0jUyIAehDk6svz4Neqi5sp,0.471,0.826,11,-6.014,0,0.0897,0,0.187,0.422,124.033,277120,4,0.0,2013-04-20T15:44:20Z
Thirty Seconds To Mars,alternative metal/modern rock/post-grunge/rock,LOVE LUST FAITH + DREAMS,Conquistador,6WXwpSDGFg6a9zICcEn3oW,0.558,0.953,6,-4.947,1,0.043,4.38e-05,0.129,0.489,136.037,192240,4,0.0,2013-05-31T14:39:58Z
Three Days Grace,alternative metal/canadian metal/canadian rock/nu metal/post-grunge,Three Days Grace (Expanded Edition),I Hate Everything About You,6rUp7v3l8yC4TKxAAR5Bmx,0.498,0.83,6,-5.157,0,0.0421,0,0.139,0.453,89.342,231480,4,75.0,2012-12-13T12:40:58Z
Skillet,alternative metal/christian alternative rock/christian music/christian rock,Awake,Hero,4CbKVDZkYKdv69I4bCaKUq,0.533,0.967,1,-2.543,1,0.0995,0,0.336,0.782,142.018,186813,4,75.0,2012-12-13T12:42:10Z
Skillet,alternative metal/christian alternative rock/christian music/christian rock,Awake,Monster,2UREu1Y8CO4jXkbvqAtP7g,0.64,0.957,8,-2.336,1,0.0741,0,0.0789,0.692,134.992,178013,4,79.0,2012-12-13T12:42:13Z
Skillet,alternative metal/christian alternative rock/christian music/christian rock,Awake,Awake and Alive,0nkzd3yNniB767zSDDdLZ3,0.434,0.939,4,-2.983,0,0.0593,0,0.491,0.569,159.932,209493,4,71.0,2012-12-13T12:42:15Z
Evanescence,alternative metal,Fallen,Bring Me To Life,4CDoeHIz44HzXq3j6LkZq6,0.322,0.947,4,-3.173,0,0.12,3.95e-06,0.238,0.269,189.994,237293,4,0.0,2012-12-20T16:37:13Z
Evanescence,alternative metal,Fallen,Going Under,7jUnwF51o95iu2zPnpnEdW,0.371,0.857,11,-4.913,0,0.0538,6.87e-05,0.135,0.442,175.093,214947,4,0.0,2012-12-20T16:38:03Z
Evanescence,alternative metal,The Open Door,Call Me When You're Sober,1drP59ySqfKXg64m5l5Hab,0.432,0.88,7,-4.101,1,0.0563,0,0.281,0.331,93.384,214707,4,0.0,2012-12-20T16:38:10Z
Evanescence,alternative metal,Fallen,My Immortal,72iNjNcripCtyG8AZEPVBo,0.251,0.333,9,-7.828,1,0.0336,1.22e-05,0.0847,0.0691,97.195,273360,5,0.0,2013-03-07T15:35:54Z
Paramore,candy pop/pixie/pop emo/pop punk,Riot!,Misery Business,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1,-3.677,1,0.0735,9.26e-06,0.113,0.731,172.977,211520,4,78.0,2012-06-12T08:29:08Z
Paramore,candy pop/pixie/pop emo/pop punk,Still into You,Still into You,4Gn0CLQ4TuxAsEMmKkBk9u,0.602,0.923,5,-3.763,1,0.044,0,0.0561,0.765,136.01,216013,4,39.0,2013-04-20T15:44:07Z
Paramore,candy pop/pixie/pop emo/pop punk,Now,Now,6ZahS1pMntQdla9v4wCd66,0.419,0.951,0,-3.201,1,0.0897,0.000342,0.196,0.326,161.922,250880,4,29.0,2013-04-20T15:44:26Z
Paramore,candy pop/pixie/pop emo/pop punk,Paramore,Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,0.61,0.893,9,-3.681,1,0.0921,4.41e-05,0.021,0.673,104.031,296520,4,76.0,2013-04-21T10:45:09Z
