artist,genre,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_popularity,added_at
The Notorious B.I.G.,east coast hip hop/gangster rap/hardcore hip hop/hip hop/rap,Ready to Die (The Remaster),Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,0.889,0.818,9,-4.639,1,0.253,0,0.179,0.782,96.063,302760,4,75.0,2013-06-16T15:24:28Z
The Notorious B.I.G.,east coast hip hop/gangster rap/hardcore hip hop/hip hop/rap,Life After Death (Deluxe Version),Mo Money Mo Problems (feat. Mase & Puff Daddy),3kG2YgxjYnnPBlo7H08Xt3,0.857,0.867,6,-4.952,0,0.0635,0,0.128,0.918,104.382,253133,4,0.0,2015-02-18T16:48:29Z
Nik & Jay,danish pop,Nik & Jay 2,En dag tilbage,5xbVoqGASUuEV2mp5LXrRz,0.748,0.492,10,-6.264,0,0.0449,5.11e-06,0.163,0.349,93.009,267440,4,48.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Her,Her,0acTLwpKVLVkYN65Jt4SCl,0.652,0.923,9,-3.778,1,0.0309,0.0008,0.114,0.58,106.432,184720,4,0.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Toyota´n til Magdi,Toyota´n til Magdi,433aQtRmtcVO281oWASwYA,0.622,0.814,7,-4.782,1,0.304,0,0.0621,0.651,86.739,228027,4,0.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,"Kors på halsen, ti kniver i hjertet, mor og far i døden",Bonus: Påfugl - m/ Maria Mena,2tez3tmnNYfFJo7lLZfZmk,0.438,0.763,6,-6.732,0,0.168,0.000588,0.118,0.326,85.154,192813,4,0.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Fire Vegger,Stjerner,17mdSsuyzqe4R200aEUHXB,0.698,0.718,3,-4.32,0,0.039,0,0.0968,0.196,104.98,168773,4,0.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Aldri Solgt En Løgn,Tusen Tegninger,7BLTDNLUi5NIyvGVxEIhlA,0.634,0.692,3,-6.038,0,0.0442,0.000108,0.224,0.495,85.999,259213,4,0.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,"Kors på halsen, ti kniver i hjertet, mor og far i døden",Spis din syvende sans,25OObZIRPoArO3ufAM9tJL,0.653,0.516,11,-6.137,1,0.075,1.75e-05,0.197,0.233,150.099,201347,4,0.0,2013-08-08T21:07:58Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Glasskår,Kunsten å være inder,7zyNuxKjvwPiN6mGNkWhvS,0.629,0.661,6,-6.492,0,0.29,0,0.302,0.815,96.838,141880,4,0.0,2016-07-19T19:09:48Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Fire Vegger,"Fly, Baba (feat. Ras Steven)",3ERTDC8M5wXbKDnSrCZbJo,0.731,0.809,1,-4.196,1,0.11,0,0.0497,0.676,92.977,238787,4,0.0,2016-07-19T19:11:03Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Aldri Solgt En Løgn,Aldri Solgt En Løgn,0ZESD6jCZlb5pr2jDPBImw,0.77,0.861,4,-5.203,0,0.0823,1.88e-06,0.275,0.318,110.115,163840,4,0.0,2016-07-19T19:11:41Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Aldri Solgt En Løgn,Snøhvit,2Bngn4VYrcbnzJAufZmmmn,0.675,0.797,9,-5.761,1,0.0669,0,0.0808,0.649,110.008,178733,4,0.0,2013-06-16T15:24:39Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Aldri Solgt En Løgn,Ruter (feat. Andreas Grega),6iopOqZWTM2Ak3p00Akv1p,0.555,0.686,0,-6.212,1,0.0342,6.5e-06,0.0931,0.126,105.028,198133,4,0.0,2015-01-27T15:42:35Z
Karpe,norwegian hip hop/norwegian indie/norwegian pop,Fire Vegger,Regnvær,19DjhEC2bl7Gea6l5EAXq4,0.725,0.83,8,-3.534,1,0.111,0,0.0506,0.484,92.952,206653,4,0.0,2013-07-07T09:26:32Z
