artist,genre,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_popularity,added_at
Calvin Harris,dance pop/edm/electro house/house/pop/progressive house/uk dance,18 Months,Iron,0uqMUcdMvQtNQLO4jVockW,0.546,0.887,5,-4.694,0,0.0799,0.0424,0.606,0.436,125.983,219653,4,40.0,2013-07-16T21:06:45Z
Nicky Romero,big room/dance pop/dutch edm/edm/electro house/pop dance/pop edm/progressive electro house/progressive house/tropical house,Toulouse (Remixes),Toulouse,0zNWk7b2iysdX8FfyUryn7,0.757,0.91,5,-3.824,0,0.102,0.689,0.23,0.247,127.984,365493,4,8.0,2013-07-16T21:06:53Z
Nicky Romero,big room/dance pop/dutch edm/edm/electro house/pop dance/pop edm/progressive electro house/progressive house/tropical house,Like Home,Like Home - Radio Edit,2iOiRhJanIu1jNSzwaleEf,0.575,0.895,2,-2.821,0,0.0405,6.51e-05,0.332,0.224,127.89,200160,4,28.0,2013-07-16T21:07:01Z
Avicii,dance pop/edm/pop/pop dance/pop rap,I Could Be The One [Avicii vs Nicky Romero],I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2bNrvWD9d5Zn9tS8XvcaMk,0.509,0.79,6,-3.782,0,0.0374,6.67e-05,0.316,0.638,127.946,208316,4,0.0,2013-07-16T21:07:06Z
DJ Borgny,nordic house,Richie Rich 2012,Richie Rich 2012,1AUsJcph9rxIthzYSr8Qq7,0.731,0.501,1,-5.909,0,0.175,0.000401,0.255,0.46,131.921,220000,4,0.0,2013-07-16T21:07:34Z
ItaloBrothers,dance pop/eurodance/hands up/italo dance/pop dance,This Is Nightlife,This Is Nightlife - Video Edit,0IpiiTfaDSiqpYg9MlBxw4,0.642,0.784,11,-5.286,0,0.032,3.03e-05,0.308,0.877,128.004,162000,4,0.0,2013-07-16T21:07:45Z
Dave Darell,pop house,Freeloader,Freeloader - Spencer & Hill Radio Edit,0oKP5nVFcxxFO6wfj4JMvU,0.656,0.842,7,-6.453,1,0.0647,0.821,0.182,0.73,131.982,211031,4,0.0,2013-07-16T21:07:48Z
Axel Morris,unknown,Licence to Chill 2012 (feat. Savant & Celina Svanberg),Licence to Chill 2012 (feat. Savant & Celina Svanberg),442qWh3pWFb9ZTi2WDiCTF,0.788,0.913,7,-4.971,0,0.13,0.0137,0.0888,0.384,129.995,218101,4,0.0,2013-07-16T21:07:53Z
Madeon,complextro/edm/electro house/electropop/filter house/nantes indie/pop dance,The City,The City,59iJua476fbi3PbddfPrez,0.528,0.81,7,-2.174,0,0.044,0.0,0.846,0.295,124.995,233693,4,39.0,2013-07-16T21:07:58Z
Madeon,complextro/edm/electro house/electropop/filter house/nantes indie/pop dance,Icarus,Icarus,15ccEhr9NN3Blmdr0hQwj9,0.48,0.841,1,-2.267,0,0.0529,0.303,0.111,0.143,126.113,214267,4,36.0,2013-07-16T21:08:31Z
Calvin Harris,dance pop/edm/electro house/house/pop/progressive house/uk dance,18 Months,I Need Your Love (feat. Ellie Goulding),05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,8,-5.066,1,0.0483,0.0,0.237,0.58,124.989,234507,4,70.0,2013-07-16T21:08:42Z
Calvin Harris,dance pop/edm/electro house/house/pop/progressive house/uk dance,18 Months,Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,0.573,0.929,8,-3.942,0,0.109,0.000112,0.0567,0.582,127.934,212560,4,72.0,2013-07-16T21:08:45Z
Calvin Harris,dance pop/edm/electro house/house/pop/progressive house/uk dance,18 Months,Drinking from the Bottle (feat. Tinie Tempah),1oHxIPqJyvAYHy0PVrDU98,0.665,0.886,9,-4.175,0,0.0514,6.24e-05,0.0525,0.53,128.062,240347,4,61.0,2013-07-16T21:08:47Z
Calvin Harris,dance pop/edm/electro house/house/pop/progressive house/uk dance,18 Months,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,1,0.031,0.00703,0.204,0.919,127.937,206413,4,79.0,2013-07-16T21:08:49Z
Calvin Harris,dance pop/edm/electro house/house/pop/progressive house/uk dance,18 Months,We'll Be Coming Back (feat. Example),7B1Dl3tXqySkB8OPEwVvSu,0.596,0.952,7,-4.364,1,0.0873,0.0,0.598,0.571,127.945,234360,4,62.0,2013-07-16T21:08:51Z
Avicii,dance pop/edm/pop/pop dance/pop rap,Wake Me Up,Wake Me Up,294vBlXfZYspeI29SXZaON,0.512,0.803,2,-5.135,1,0.0531,0.000583,0.116,0.591,124.162,249693,4,17.0,2013-07-16T21:10:23Z
Kongsted,dakke dak/danish electronic/danish pop,Chuck Norris,Chuck Norris - Radio Edit,02xvKMRd0aPdpBuAegubmu,0.735,0.948,7,-5.503,1,0.059,0.853,0.289,0.794,128.038,175251,4,0.0,2013-07-16T21:10:34Z
AWOLNATION,la indie/modern alternative rock/modern rock/rock/stomp pop,Megalithic Symphony,Sail,7ueP5u2qkdZbIPN2YA6LR0,0.826,0.436,1,-9.583,1,0.0558,0.615,0.0964,0.272,119.051,259093,4,73.0,2013-07-16T21:12:03Z
Avicii,dance pop/edm/pop/pop dance/pop rap,Levels,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,0.62,0.881,1,-5.851,0,0.0372,0.714,0.311,0.415,126.035,199904,4,0.0,2013-07-16T21:12:34Z
DJ Antoine,dance pop/pop dance/pop rap/tropical house,Ma Chérie (feat. The Beat Shakers),Ma chérie (feat. The Beat Shakers) - DJ Antoine vs Mad Mark 2k12 Radio Edit,1k2FbKcd051jfxaE0PLZJF,0.762,0.618,5,-5.032,0,0.219,0.000131,0.0232,0.819,127.89,193093,4,0.0,2013-07-16T21:14:23Z
DJ Antoine,dance pop/pop dance/pop rap/tropical house,Welcome to DJ Antoine,Welcome To St. Tropez - DJ Antoine Vs. Mad Mark Radio Edit,3GUjQm9uvRMTY0NNalR5Au,0.774,0.754,0,-4.841,0,0.132,1.43e-06,0.341,0.762,124.969,195187,4,0.0,2013-07-16T21:14:25Z
DJ Antoine,dance pop/pop dance/pop rap/tropical house,Welcome to DJ Antoine,Shake 3x - Radio Edit,7qOscaSEjS4eH1KPEELFuQ,0.891,0.816,0,-5.219,1,0.345,0.00273,0.562,0.84,127.997,185173,4,0.0,2013-07-16T21:14:49Z
DJ Antoine,dance pop/pop dance/pop rap/tropical house,Welcome to DJ Antoine,Sunlight - DJ Antoine Vs. Mad Mark Radio Edit,5gybgDShHBGAMO6hFfrh7R,0.657,0.761,0,-4.704,1,0.0343,0.0,0.077,0.29,128.003,180067,4,0.0,2013-07-16T21:15:06Z
Benny Benassi,dance pop/edm/electro house/pop dance,Cinema (feat. Gary Go),Cinema (feat. Gary Go) - Skrillex Remix,2Ir35f19vfOEG3iEDbV2Sa,0.629,0.987,6,-3.809,0,0.175,0.0069,0.053,0.409,145.102,309867,4,35.0,2013-07-16T21:19:08Z
Argyros,nordic house,The Russ II (2011),Broadcaster - Original,1oEwiCECbXBek6ECFNkO7s,0.664,0.969,8,-5.065,0,0.127,0.0,0.883,0.334,130.002,264200,4,0.0,2013-07-19T16:13:19Z
Dimitri Vegas,belgian edm,disco:wax Presents: Kris O'Neil - Somewhat Scandinavian 2,Mammoth - Original Mix,1sXAYUfx0RJkRDcZWUFJWF,0.646,0.846,11,-5.955,0,0.255,0.299,0.364,0.474,127.993,332160,4,21.0,2013-07-20T21:17:47Z
ItaloBrothers,dance pop/eurodance/hands up/italo dance/pop dance,Stamp On The Ground,Stamp on the Ground - Radio Edit,09ISyLOPeuno7kKlzdbZuq,0.635,0.828,11,-7.575,0,0.0592,0.00924,0.116,0.276,149.953,198987,4,57.0,2013-07-21T19:47:04Z
ItaloBrothers,dance pop/eurodance/hands up/italo dance/pop dance,Love Is On Fire,Love Is On Fire - Radio Edit,3BW5P687P9knMJCgS7AtPa,0.616,0.895,4,-5.15,0,0.0867,0.0,0.335,0.504,149.979,205467,4,32.0,2013-07-21T19:47:10Z
Pendulum,australian dance/dancefloor dnb/drum and bass,Witchcraft,Witchcraft,2A7ZZ1tjaluKYMlT3ItSfN,0.432,0.969,1,-3.131,1,0.0599,0.00768,0.385,0.218,174.031,252960,4,36.0,2013-08-01T20:50:39Z
Pendulum,australian dance/dancefloor dnb/drum and bass,Watercolour,Watercolour - Full Version; Single,6HNGXmc7A14zeeWTj4gzz8,0.392,0.925,5,-4.329,0,0.145,0.0649,0.306,0.197,174.05,304794,4,34.0,2013-08-01T20:50:46Z
Avicii,dance pop/edm/pop/pop dance/pop rap,Speed (Burn & Lotus Team F1 Mix),Speed - Burn & Lotus F1 Team Mix,6OQCYJLHQQyRgOHavOAdx3,0.667,0.724,11,-6.047,0,0.0457,0.862,0.547,0.355,125.013,423893,4,0.0,2013-08-01T22:02:16Z
Madeon,complextro/edm/electro house/electropop/filter house/nantes indie/pop dance,Finale,Finale (feat. Nicholas Petricca),0DanGj9TtgZIjJnHdTbW9v,0.42,0.863,7,-3.135,0,0.0473,1.39e-05,0.147,0.172,92.131,205200,4,47.0,2013-08-01T22:03:11Z
Pendulum,australian dance/dancefloor dnb/drum and bass,In Silico,Propane Nightmares,6tC2iHfUlzB2W4ntXXL2BH,0.356,0.966,7,-4.13,0,0.0825,0.148,0.192,0.215,173.992,313347,4,57.0,2013-08-02T11:20:52Z
Pendulum,australian dance/dancefloor dnb/drum and bass,In Silico,The Tempest,6gTQubOSdry0ievEXvhzxd,0.403,0.754,5,-7.773,0,0.0416,0.019,0.545,0.302,174.018,447200,4,48.0,2013-08-02T20:08:03Z
Pendulum,australian dance/dancefloor dnb/drum and bass,In Silico,Granite,3aiycOKS6P30BnR7dUfrnA,0.392,0.925,6,-6.349,1,0.0462,0.703,0.356,0.2,174.089,283467,4,46.0,2013-08-02T20:08:18Z
Knife Party,australian dance/brostep/complextro/edm/electro house/moombahton,Haunted House,EDM Death Machine,6iBzUjscIAeQ2vKV67UuZM,0.661,0.95,9,-3.417,1,0.131,0.452,0.116,0.301,128.03,263088,4,39.0,2013-08-02T20:09:15Z
Knife Party,australian dance/brostep/complextro/edm/electro house/moombahton,Rage Valley,Bonfire,0QIYINh2AwmOmdu8CRYvlw,0.536,0.944,1,-3.029,1,0.0867,0.00345,0.353,0.589,174.031,272078,4,60.0,2013-08-02T20:09:20Z
Knife Party,australian dance/brostep/complextro/edm/electro house/moombahton,Haunted House,Power Glove,6qpaTfe6rCl55xEPT4F7Hp,0.674,0.953,1,-2.895,1,0.0835,0.151,0.498,0.38,127.977,261245,4,48.0,2013-08-02T20:09:25Z
deadmau5,canadian electronic/edm/electro house/pop dance/progressive house,For Lack Of A Better Name,Ghosts 'n' Stuff,4ua0IepBEISCWwF8dTJvcU,0.617,0.617,8,-6.941,1,0.122,0.0598,0.253,0.517,127.996,328253,4,56.0,2013-08-02T20:11:12Z
deadmau5,canadian electronic/edm/electro house/pop dance/progressive house,4x4=12,Some Chords,20z8eajtRNnsRueGEzQyLi,0.786,0.427,1,-8.015,1,0.0669,0.537,0.0732,0.42,128.005,444141,4,0.0,2013-08-02T20:11:15Z
deadmau5,canadian electronic/edm/electro house/pop dance/progressive house,Raise Your Weapon (Remixes),Raise Your Weapon - Madeon Extended Remix,2ZIfv0fO740IFZdTJTP1JA,0.704,0.696,8,-5.23,0,0.0549,1.79e-05,0.0727,0.452,126.066,257080,4,36.0,2013-08-02T20:11:19Z
DJ Fresh,dancefloor dnb/drum and bass/house/uk dance,Kryptonite,Golddust,6YKB7Sg5kkGMPbxlbSvYVi,0.51,0.924,0,-1.14,1,0.145,0.0,0.385,0.206,176.836,191560,4,0.0,2013-08-02T20:12:42Z
DJ Fresh,dancefloor dnb/drum and bass/house/uk dance,Hot Right Now,Hot Right Now - Radio Edit,2SbVR0tPkE8cYXV539iNoE,0.523,0.971,4,-1.568,0,0.0429,0.000542,0.221,0.48,174.993,182333,4,21.0,2013-08-02T20:12:55Z
Rudimental,dance pop/edm/house/pop/pop dance/tropical house/uk dance/uk funky,Waiting All Night,Waiting All Night (feat. Ella Eyre),666elemQTQGi8xbjAAdIgB,0.544,0.728,6,-5.358,0,0.05,0.00959,0.427,0.281,174.983,292587,4,48.0,2013-08-02T20:14:44Z
The Prodigy,big beat/breakbeat/dance rock/hardcore techno/rave,Their Law the Singles 1990 - 2005,Voodoo People (Pendulum Mix),4IwnNqIML38mYMXGKVsScD,0.446,0.963,1,-5.553,1,0.0657,0.84,0.192,0.512,173.993,307813,4,0.0,2013-08-04T21:11:58Z
The Prodigy,big beat/breakbeat/dance rock/hardcore techno/rave,Invaders Must Die,Invaders Must Die,6FmSCambSeWTMvWSUco4EO,0.6,0.9,6,-5.171,1,0.0541,0.902,0.111,0.0993,140.035,295027,4,0.0,2013-08-04T21:12:11Z
Flux Pavilion,bass trap/brostep/classic dubstep/edm/electro house/electronic trap/pop dance/vapor twitch,Lines in Wax,I Can't Stop,03EuhmMsEHVFI9ytainStU,0.513,0.775,0,-7.202,0,0.0304,0.248,0.409,0.205,139.932,303911,4,55.0,2013-08-04T21:15:09Z
Flux Pavilion,bass trap/brostep/classic dubstep/edm/electro house/electronic trap/pop dance/vapor twitch,Blow the Roof,Do or Die (feat. Childish Gambino),2BTPW7osibjN9gFDRY4mYN,0.624,0.83,11,-5.018,0,0.121,1.4e-05,0.306,0.432,145.146,245091,4,49.0,2013-08-04T21:15:18Z
Flux Pavilion,bass trap/brostep/classic dubstep/edm/electro house/electronic trap/pop dance/vapor twitch,Bass Cannon,Bass Cannon,1fc12F23NDBAN1Y75GEc1v,0.675,0.827,8,-4.292,0,0.0363,0.865,0.68,0.0402,139.928,310411,4,0.0,2013-08-04T21:15:29Z
Flux Pavilion,bass trap/brostep/classic dubstep/edm/electro house/electronic trap/pop dance/vapor twitch,Got 2 Know / Normalize,Got 2 Know,2JPxMMWWLPz50bLqdfxgjg,0.659,0.757,7,-4.802,0,0.03,0.696,0.128,0.475,139.949,350098,4,37.0,2013-08-04T21:15:35Z
Flux Pavilion,bass trap/brostep/classic dubstep/edm/electro house/electronic trap/pop dance/vapor twitch,Daydreamer (feat. Example),Daydreamer (feat. Example) - Radio Edit,5osHRqrBmK2Am2FhoNm2FL,0.539,0.914,9,-5.786,0,0.0345,0.0806,0.199,0.432,141.35,212973,4,37.0,2013-08-04T21:15:42Z
Porter Robinson,complextro/edm/melodic dubstep/progressive electro house,Spitfire,Unison - Knife Party Remix,62PdGwG6Hv8sCyd29ExKEq,0.586,0.836,10,-6.067,1,0.0603,0.833,0.0339,0.165,109.932,298402,4,0.0,2013-08-04T21:17:32Z
Porter Robinson,complextro/edm/melodic dubstep/progressive electro house,Language,Language - UK Edit,7Jt9vENls2TLtSU5taFQgT,0.537,0.662,6,-4.723,0,0.0429,0.0158,0.0341,0.307,128.086,199507,4,0.0,2013-08-04T21:17:39Z
Dizzee Rascal,bassline/grime/house/instrumental grime/pop rap,I Give It A Year (Original Soundtrack),Bonkers,0vEN1H3ySpduTY5Etmlznn,0.623,0.95,11,-6.546,0,0.231,0.0,0.295,0.709,126.113,177520,4,0.0,2013-08-04T21:23:54Z
Modestep,brostep/dubstep/edm/electro house,Sunlight (2011),Sunlight,3bbtEl3UDzQn0ti5TqPtRH,0.359,0.822,0,-5.447,1,0.115,1.21e-05,0.148,0.395,139.416,230120,4,0.0,2013-08-16T19:42:12Z
