artist,track_name,popularity,explicit
Yxngxr1,Tyler,65,True
Promoting Sounds,Artificial Love,55,True
347aidan,MEMORIES!,83,False
The Wavy Kid,Bad,43,True
Lund,Fiction,65,True
Mustard,Pure Water (with Migos),80,True
AJ Tracey,Dinner Guest (feat. MoStack),67,True
kiLLa Laharl,Phonk House '99,49,True
Lil Peep,Sex with My Ex,71,True
Tyga,Goddamn (feat. A Boogie wit da Hoodie),60,True
Benedixhion,toxin,66,True
convolk,lonewolf,29,True
CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,80,True
Pop Smoke,Dior - Bonus,62,True
Jack Harlow,WHATS POPPIN,83,True
Lil Peep,Save That Shit,82,True
Dave,Thiago Silva,78,True
Dree Low,PIPPI,44,True
convolk,i fucked up,32,True
Lil Peep,Falling Down - Bonus Track,85,True
Memoria XI,Just Friends,51,True
Oberg,Take My Hand,67,False
Kodak Black,ZEZE (feat. Travis Scott & Offset),82,True
"nothing,nowhere.",lights (4444),59,True
Ty Dolla $ign,Saved (feat. E-40),40,True
whiterosemoxie,Beeline,50,True
Post Malone,Circles,89,False
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",80,True
Trevor Daniel,Alone,60,False
Moderat,A New Error,66,False
jaden,smoke and mirrors,42,True
Yung Pinch,Why Would I Wait (feat. G-Eazy),54,True
deadmau5,Moar Ghosts 'n' Stuff,41,False
Ollie,Street Lights,52,False
Foxing,The Medic,52,False
Noah Carter,Come Alive,53,True
CJ,Whoopty,81,True
Promoting Sounds,Down For Real,56,True
Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),81,True
Ryan Oakes,Drinking About You,61,True
Zero 9:36,Come Thru,54,True
Aries,DITTO,59,True
Lil Peep,yesterday,71,True
Camo & Krooked,Watch It Burn,52,False
The Kid LAROI,WRONG (feat. Lil Mosey),72,True
EKKSTACY,i walk this earth all by myself,67,True
Stormzy,Shut Up,67,True
44phantom,freak,55,True
Meek Mill,Ima Boss (feat. Rick Ross),70,True
CLMD,All My Friends,50,False
