artist,track_name,popularity,explicit
Benedixhion,toxin,66,True
Reti,Splendor,48,True
Lund,Low,62,True
Ollie,Need Someone,63,True
Noah 216,ENOUGH,25,True
Swedish House Mafia,Redlight,77,False
"nothing,nowhere.",Sledgehammer,63,False
Akros,Innerlich sind wir stehen geblieben,54,False
Lund,Issues,54,True
G Smoove,Blood Of An Angel,30,True
Lil Xtra,Sober,49,True
sadeyes,i'm not okay,47,True
Lund,Red Tide,38,False
Tom Enzy,Ice & Cold,66,False
ODESZA,The Last Goodbye (feat. Bettye LaVette),78,False
sadeyes,fast life,51,True
EMBRZ,Don't Look Back,54,False
Khalid,Last Call,82,False
Ollie,Lowkey,55,True
Ollie,Street Lights,52,False
Sultan + Shepard,Skipping Stones,57,False
Forester,Heart,53,False
kiLLa Laharl,Phonk House '99,49,True
NF,Hate Myself,75,False
Lil Peep,Life is Beautiful,77,True
Lil Xtra,Forestdale,41,False
lil aaron,Dark Matter,54,False
Aries,ONE PUNCH,66,True
convolk,I fucked up,67,True
Junge Junge,Run Run Run,58,False
EMBRZ,Visions,48,False
EMBRZ,Stay,61,False
Fred again..,Lights Out,68,False
Ollie,Feelings,62,False
Justin Stone,MESS,50,False
BURNS,Talamanca,73,False
URO,Værd At Vente På,42,False
Lund,Fiction,65,True
Lane 8,Brightest Lights (feat. POLIÇA),51,False
Kasbo,Hemma - Chet Porter Remix,43,False
Josh A,Cold Heart,66,False
EMBRZ,Sound 4 U X Be Mine,53,False
Luca,Fever,64,False
Lund,F*ck Love,68,True
iamjakehill,I Chose Violence,70,True
guardin,ditch,59,True
Moderat,Therapy,52,False
Phoebe Bridgers,Garden Song,73,False
Lonely in the Rain,Stronger,49,False
RKCB,Know Love - OTR Remix,62,False
