artist,track_name,popularity,explicit
Promoting Sounds,Artificial Love,55,True
The Wavy Kid,Bad,43,True
Lund,Fiction,65,True
Yxngxr1,Tyler,65,True
kiLLa Laharl,Phonk House '99,49,True
Benedixhion,toxin,66,True
CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,80,True
convolk,lonewolf,29,True
Lil Peep,Sex with My Ex,71,True
Lil Peep,Save That Shit,82,True
convolk,i fucked up,32,True
Lil Peep,Falling Down - Bonus Track,85,True
Memoria XI,Just Friends,51,True
"nothing,nowhere.",lights (4444),59,True
whiterosemoxie,Beeline,50,True
Trevor Daniel,Alone,60,False
Moderat,A New Error,66,False
jaden,smoke and mirrors,42,True
Yung Pinch,Why Would I Wait (feat. G-Eazy),54,True
Ollie,Street Lights,52,False
Promoting Sounds,Down For Real,56,True
Ryan Oakes,Drinking About You,61,True
Lil Peep,yesterday,71,True
44phantom,freak,55,True
347aidan,MEMORIES!,83,False
Josh A,Endless Nightmare,64,True
Lund,Alone,59,True
convolk,whatever it takes,29,True
diveliner,basketball,52,False
Lil Peep,The Brightside,72,True
Aries,DITTO,59,True
Aries,ONE PUNCH,66,True
convolk,all black fit,21,True
Memoria XI,Patience,45,True
Memoria XI,Happier,50,True
Cimón,Final Destination,40,False
Memoria XI,Monte Carlo,47,True
Lund,Broken,76,True
Josh A,PAINLESS,57,False
Promoting Sounds,I Hate That...,31,True
Brevin Kim,NAPLES,54,True
cøzybøy,i swear this søng is abøut eating øut my best friend's pussy,46,True
Lil Peep,white tee,81,True
"nothing,nowhere.","I'm Sorry, I'm Trying",58,False
Lund,F*ck Love,68,True
EKKSTACY,i want to be by your side,47,False
Reti,Splendor,48,True
XXXTENTACION,whoa (mind in awe),77,False
Promoting Sounds,Memory,68,True
Justin Stone,MESS,50,False
